184,Main gear strut/axle/truck,18,,,
185,Nose/tail landing gear,18,,,
186,Nose/tail gear attach section,18,,,
187,Nose/tail gear strut/axle,18,,,
188,Gear extension and retract sys,18,,,
189,Landing gear door retract sec,18,,,
190,Landing gear door actuator,18,,,
191,Landing gear actuator,18,,,
192,Landing gear selector,18,,,
193,Landing gear brakes system,18,,,
194,Anti-skid section,18,,,
195,Brake,18,,,
196,Master cylinder/brake valve,18,,,
197,Tire casing,18,,,
198,Tube,18,,,
199,Wheel/ski/float,18,,,
200,Landing gear steering system,18,,,
201,Steering unit,18,,,
202,Shimmy damper,18,,,
203,Gear position and warning,18,,,
204,Aux gear (tail/rotorcrft skid),18,,,
205,Land gear sys wiring,18,,,
206,(general),19,,,
207,Flight compartment lighting,19,,,
208,Passenger compartment lighting,19,,,
209,Cargo compartment lighting,19,,,
210,Exterior lighting,19,,,
211,Emergency lighting,19,,,
212,Light wiring,19,,,
213,(general),20,,,
214,Flight environment data,20,,,
215,Pitot/static system,20,,,
216,Air temperature/thrust limit,20,,,
217,Rate of climb,20,,,
218,Airspeed/mach indicating,20,,,
219,High speed warning,20,,,
220,"Altimeter, barometric/encoder",20,,,
221,Air data computer,20,,,
222,Stall warning system,20,,,
223,Attitude & direction,20,,,
224,Attitude gyro & indication,20,,,
225,Directional gyro & indication,20,,,
226,Magnetic compass,20,,,
227,Turn and bank/rate of turn,20,,,
228,Integrated flight director sys,20,,,
229,Landing and taxi aids,20,,,
230,Localizer/VOR system,20,,,
231,Glide slope system,20,,,
232,Microwave landing system,20,,,
233,Marker beacon system,20,,,
234,Heads up display system,20,,,
235,Wind shear detection system,20,,,
236,Indep position determining sys,20,,,
237,Inertial guidance system,20,,,
238,Weather radar system,20,,,
239,Doppler system,20,,,
240,Ground proximity system,20,,,
241,Air collision avoidance (TCAS),20,,,
242,Non radar weather system,20,,,
243,Dependent position determining,20,,,
244,DME/TACAN system,20,,,
245,ATC transponder system,20,,,
246,LORAN system,20,,,
247,VOR system,20,,,
248,ADF system,20,,,
249,Omega navigation system,20,,,
250,Global positioning sys (GPS),20,,,
251,Flt management computing sys,20,,,
252,Flt mgmt computing software,20,,,
253,Nav sys wiring,20,,,
254,(general),21,,,
255,Crew oxygen system,21,,,
256,Passenger oxygen system,21,,,
257,Portable oxygen system,21,,,
258,Oxygen sys wiring,21,,,
259,(general),22,,,
260,Pneumatic distribution system,22,,,
261,Pneumatic indicating system,22,,,
262,Pneumatic sys wiring,22,,,
263,(general),23,,,
264,Vacuum distribution system,23,,,
265,Vacuum indicating system,23,,,
266,Vacuum sys wiring,23,,,
267,(general),24,,,
268,Potable water system,24,,,
269,Wash water system,24,,,
270,Waste disposal system,24,,,
271,Air supply (water press sys),24,,,
272,Water/waste sys wiring,24,,,
273,(general),25,,,
274,Cent maint cmp wiring,25,,,
275,(general),26,,,
276,APU assembly and cowl,26,,,
277,APU core engine,26,,,
278,APU engine fuel and control,26,,,
279,APU start/ignition system,26,,,
280,APU bleed air system,26,,,
281,APU controls,26,,,
282,APU indicating system,26,,,
283,APU exhaust system,26,,,
284,APU oil system,26,,,
285,APU sys wiring,26,,,
286,(general),27,,,
287,(general),28,,,
288,(general),29,,,
289,Passenger/crew doors,29,,,
290,Emergency exit,29,,,
291,Cargo/baggage doors,29,,,
292,Service doors,29,,,
293,Galley doors,29,,,
294,Elect/electronic comp doors,29,,,
295,Hydraulic compartment doors,29,,,
296,Accessory compartment doors,29,,,
297,Air conditioning comp doors,29,,,
298,Fluid service doors,29,,,
299,Auxiliary power unit door,29,,,
300,Tail cone door,29,,,
301,Fixed inner doors,29,,,
302,Entrance stairs,29,,,
303,Door warning,29,,,
304,Landing gear doors,29,,,
305,Door wiring,29,,,
306,(general),30,,,
307,Aerial tow equipment section,30,,,
308,Rotorcraft tail boom,30,,,
309,Fuselage main structure,30,,,
310,Frames (main fuselage),30,,,
311,Bulkheads (main fuselage),30,,,
312,Longerons/stringers (main fus),30,,,
313,Keels (main fuselage),30,,,
314,Floor beams (main fuselage),30,,,
315,Fuselage auxiliary structure,30,,,
316,Floor panels (aux fuselage),30,,,
317,Internal mount struc (aux fus),30,,,
318,Internal stairs (aux fus),30,,,
319,Fixed partitions (aux fus),30,,,
320,Plates/skins (aux fuselage),30,,,
321,Fuselage attach fittings sys,30,,,
322,Wing attach fittings (on fus),30,,,
323,Stab attach fittings (on fus),30,,,
324,Gear attach fittings (on fus),30,,,
325,Door hinge (on fuselage),30,,,
326,Equip attach fittings (on fus),30,,,
327,Engine attach fitting (on fus),30,,,
328,Seat/cargo attach fitting,30,,,
329,Aerodynamic fairings structure,30,,,
330,Fuselage wiring,30,,,
331,(general),31,,,
332,Main frame (on nacelles/pylon),31,,,
333,Frames (on nacelles/pylon),31,,,
334,Bulkhead/firewalls (nac/pylon),31,,,
335,Longeron/stringers (nac/pylon),31,,,
336,Plates/skins (nacelle/pylon),31,,,
337,Attach fittings (nac/pylon),31,,,
338,Nacelle/pylon misc structure,31,,,
339,Nacelle/pylon wiring,31,,,
340,(general),32,,,
341,Horizontal stabilizer,32,,,
342,Spars/ribs (horizontal stab),32,,,
343,Plates/skins (horizontal stab),32,,,
344,Tab struc (horizontal stab),32,,,
345,Horiz stab misc structure,32,,,
346,Elevators,32,,,
347,Spars/ribs (on elevator),32,,,
348,Plates/skins (on elevator),32,,,
349,Tab structure (on elevator),32,,,
350,Elevator misc structure,32,,,
351,Vertical stabilizer,32,,,
352,Spars/ribs (on vert stab),32,,,
353,Plates/skins (on vert stab),32,,,
354,Ventral struc (on vert stab),32,,,
